[registry] ✓ pi_release — PI Release 实验
[registry] ✓ recall_rating — n-back × 类别切换 + Rating
模块: n-back × 类别切换 + Rating (recall_rating)
模型: deepseek-chat
条件数: 36

  [129/1800] VA: lag1_corr=0.052 assimilation_score=0.052 direction_tag=1.000 doG_A=-0.094 doG_half_amp=-98.394
  [130/1800] VA: lag1_corr=0.155 assimilation_score=0.155 direction_tag=1.000 doG_A=-0.079 doG_half_amp=-84.479
  [131/1800] VA: lag1_corr=-0.283 assimilation_score=-0.283 direction_tag=-1.000 doG_A=-0.094 doG_half_amp=-96.177
  [132/1800] VA: lag1_corr=0.131 assimilation_score=0.131 direction_tag=1.000 doG_A=-0.156 doG_half_amp=-128.895
  [133/1800] VA: lag1_corr=-0.380 assimilation_score=-0.380 direction_tag=-1.000 doG_A=-0.126 doG_half_amp=-115.221
  [134/1800] VA: lag1_corr=-0.217 assimilation_score=-0.217 direction_tag=-1.000 doG_A=-0.110 doG_half_amp=-103.342
  [135/1800] VA: lag1_corr=0.012 assimilation_score=0.012 direction_tag=0.000 doG_A=-0.112 doG_half_amp=-105.532
  [136/1800] VA: lag1_corr=-0.051 assimilation_score=-0.051 direction_tag=-1.000 doG_A=-0.127 doG_half_amp=-115.197
  [137/1800] VA: lag1_corr=-0.012 assimilation_score=-0.012 direction_tag=0.000 doG_A=-0.125 doG_half_amp=-112.030
  [138/1800] VA: lag1_corr=0.175 assimilation_score=0.175 direction_tag=1.000 doG_A=-0.113 doG_half_amp=-105.330
  [139/1800] VA: lag1_corr=-0.304 assimilation_score=-0.304 direction_tag=-1.000 doG_A=-0.109 doG_half_amp=-100.669
  [140/1800] VA: lag1_corr=-0.106 assimilation_score=-0.106 direction_tag=-1.000 doG_A=-0.079 doG_half_amp=-86.024
  [141/1800] VA: lag1_corr=-0.248 assimilation_score=-0.248 direction_tag=-1.000 doG_A=-0.131 doG_half_amp=-117.620
  [142/1800] VA: lag1_corr=-0.387 assimilation_score=-0.387 direction_tag=-1.000 doG_A=-0.113 doG_half_amp=-107.182
  [143/1800] VA: lag1_corr=-0.088 assimilation_score=-0.088 direction_tag=-1.000 doG_A=-0.099 doG_half_amp=-98.488
  [144/1800] VA: lag1_corr=-0.143 assimilation_score=-0.143 direction_tag=-1.000 doG_A=-0.171 doG_half_amp=-144.272
  [145/1800] VA: lag1_corr=-0.117 assimilation_score=-0.117 direction_tag=-1.000 doG_A=-0.128 doG_half_amp=-114.005
  [146/1800] VA: lag1_corr=0.016 assimilation_score=0.016 direction_tag=0.000 doG_A=-0.105 doG_half_amp=-101.187
  [147/1800] VA: lag1_corr=0.023 assimilation_score=0.023 direction_tag=0.000 doG_A=-0.156 doG_half_amp=-130.325
  [148/1800] VA: lag1_corr=-0.356 assimilation_score=-0.356 direction_tag=-1.000 doG_A=-0.126 doG_half_amp=-115.054
  [149/1800] VA: lag1_corr=0.240 assimilation_score=0.240 direction_tag=1.000 doG_A=-0.107 doG_half_amp=-100.333
  [150/1800] VA: lag1_corr=-0.034 assimilation_score=-0.034 direction_tag=0.000 doG_A=-0.111 doG_half_amp=-102.918
  [151/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.545
  [152/1800] Im: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.727
  [153/1800] Im: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.818
  [154/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.909
  [155/1800] Im: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.818 acc_second_half=1.000
  [156/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [157/1800] Im: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.727
  [158/1800] Im: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.636
  [159/1800] Im: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.727
  [160/1800] Im: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.727
  [161/1800] Im: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.727
  [162/1800] Im: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.636
  [163/1800] Im: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.909
  [164/1800] Im: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.818
  [165/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
